Journal,Title,Link,Independent Variables,Dependent Variables,Metrics,Useful Search Terms,Potential Moderator Variables,Keep?,Reason for Keeping/Discarding,
Presence Journal,"A Longitudinal Study of Task Performance, Head Movements, Subjective Report, Simulator Sickness, and Transformed Social Interaction in Collaborative Virtual Environments",http://www.mitpressjournals.org/doi/abs/10.1162/pres.15.6.699#.UzhZkpCO0sQ,,,,,,YES,,
Presence Journal,A Study of Event Traffic During the Shared Manipulation of Objects Within a Collaborative Virtual Environment,http://www.mitpressjournals.org/doi/abs/10.1162/1054746041422280#.UzhYFJCO0sQ,,,,,,YES,IV: Display  Moderator Variable: IMmersiveness of Tech,
Presence Journal,Comparing Group Discussion in Virtual and Physical Environments,http://www.mitpressjournals.org/doi/abs/10.1162/pres.18.4.286#.UzhpYJCO0sQ,,,,,,YES,NOTE: Need to connect DV's to social presence,
Cyberpsych and Behavior,Development and Verification of an Alcohol Craving-Induction Tool Using Virtual Reality: Craving Characteristics in Social Pressure Situation,http://online.liebertpub.com/doi/pdf/10.1089/cpb.2007.0149,,,,,,YES,"NOTE: Deals with alocoholics and ""social pressure"" of including an avatar",
Presence Journal,Effect of Packet Loss on Collaborative Haptic Interactions in Networked Virtual Environments: An Experimental Study,http://www.mitpressjournals.org/doi/abs/10.1162/PRES_a_00132#.Uzhrn5CO0sQ,,,,,,YES,Study 2 includes subjective evaluation of copresence,
Presence Journal,"Effects of Stereoscopic Viewing on Presence, Anxiety, and Cybersickness in a Virtual Reality Environment for Public Speaking",http://www.mitpressjournals.org/doi/abs/10.1162/PRES_a_00111#.Uzib1pCO0sQ,,,,,,YES,"They increased spatial presence and ""social anxiety""",
Presence Journal,"How Is Believability of a Virtual Agent Related to Warmth, Competence, Personification, and Embodiment?",http://www.mitpressjournals.org/doi/abs/10.1162/PRES_a_00065#.UziaE5CO0sQ,,,,,,YES,Take manipulation check,
Presence Journal,Including Social Interaction in Stroke VR-Based Motor Rehabilitation Enhances Performance: A Pilot Study,http://www.mitpressjournals.org/doi/abs/10.1162/PRES_a_00129#.UzicSJCO0sQ,,,,,,YES,NOTE: Case of single-player vs. multi-player,
Presence Journal,Navigating Virtual Reality by Thought: What Is It Like?,http://www.mitpressjournals.org/doi/pdf/10.1162/pres.16.1.100,,,,,,YES,NOTE: Need to contact researchers about social presence data,
Presence Journal,Small-Group Behavior in a Virtual and Real Environment: A Comparative Study,http://www.mitpressjournals.org/doi/abs/10.1162/105474600566600#.Uz2okZCO0sQ,,,,,,YES,,
Cyberpsych and Behavior,The Unbearable Likeness of Being Digital: The Persistence of Nonverbal Social Norms in Online Virtual Environments,http://online.liebertpub.com/doi/pdf/10.1089/cpb.2006.9984,,,,,,YES,NOTE: Varies gender of dyads and measures ID and eye gaze,
Presence Journal,Transatlantic Touch: A Study of Haptic Collaboration over Long Distance,http://www.mitpressjournals.org/doi/abs/10.1162/1054746041422370#.UzhYHJCO0sQ,,,,,,YES,,
Presence Journal,An Experiment on Public Speaking Anxiety in Response to Three Different Types of Virtual Audience,http://www.mitpressjournals.org/doi/pdf/10.1162/105474602317343668,"Immersion, attitude of virtual crowd",anxiety,,,,YES,NOTE: Only second (somatic) response variable,
Presence Journal,Handshake: Realistic Human-Robot Interaction in Haptic Enhanced Virtual Reality,http://www.mitpressjournals.org/doi/abs/10.1162/PRES_a_00061,,,,,,YES,haptic social presence,
Presence Journal,"The Effect of the Agency and Anthropomorphism on Users' Sense of Telepresence, Copresence, and Social Presence in Virtual Environments",http://www.mitpressjournals.org/doi/pdf/10.1162/105474603322761289,,,,,,YES,,
Presence Journal,Collaborative Task Performance for Learning Using a Virtual Environment,http://www.mitpressjournals.org/doi/pdf/10.1162/105474699566323,,,,,,YES,,
CyberPsych,Cubes in the Cube: A Comparison of a Puzzle-Solving Task in a Virtual and a Real Environment,http://online.liebertpub.com/doi/pdfplus/10.1089/109493101300117956,,,,,,YES,,
Presence Journal,"Effects of Communication Mode on Social Presence, Virtual Presence, and Performance in Collaborative Virtual Environments",http://www.mitpressjournals.org/doi/pdf/10.1162/105474605774785253,,,,,,YES,,
CyberPsych,Empathy Toward Virtual Humans Depicting a Known or Unknown Person Expressing Pain,http://online.liebertpub.com/doi/pdf/10.1089/cyber.2012.1571,,,,,,YES,,
Presence Journal,Equilibrium theory revisited: Mutual gaze and personal space in virtual environments,http://www.mitpressjournals.org/doi/pdf/10.1162/105474601753272844,(anthropomorhic agents vs. non-anthro) & (mutual gaze vs. non-mutual gaze) & (photographic realism),interpersonal distance,,,,YES,,
Presence Journal,Exploring Agent Physicality and Social Presence for Medical Team Training,http://www.mitpressjournals.org/doi/abs/10.1162/PRES_a_00145,,,,,,YES,NOte: Need to get access to actual paper again,
Presence Journal,Leveraging Collaborative Virtual Environment Technology for Inter-Population Research on Persuasion in a Classroom Setting,http://www.mitpressjournals.org/doi/pdf/10.1162/pres.18.5.361,proximity to speaker,persuasion & memory,Likert-type scales & recall test,,,YES,,
Presence Journal,Parasocial Interaction with an Avatar in Second Life: A Typology of the Self and an Empirical Test of the Mediating Role of Social Presence,http://www.mitpressjournals.org/doi/abs/10.1162/PRES_a_00001,,,,,,YES,,
CyberPsych,Real Behavior in Virtual Environments: Psychology Experiments in a Simple Virtual-Reality Paradigm Using Video Games,http://online.liebertpub.com/doi/pdf/10.1089/cyber.2009.0310,,,,,,YES,,
Presence Journal,Small Group Behavior in a Virtual and Real Environment: A Comparative Study,http://www.mitpressjournals.org/doi/abs/10.1162/105474600566600,,,,,,YES,,
Presence Journal,Social Inhibition in Immersive Virtual Environments,http://www.mitpressjournals.org/doi/pdf/10.1162/105474603321640932,,,,,,YES,,
Presence Journal,Spatial Presence and Emotions during Video Game Playing: Does It Matter with Whom You Play?,http://www.mitpressjournals.org/doi/pdf/10.1162/pres.15.4.381,,,,,,YES,,
Presence Journal,"The Effect of Behavioral Realism and Form Realism of Real-Time Avatar Faces on Verbal Disclosure, Nonverbal Disclosure, Emotion Recognition, and Copresence in Dyadic Interaction",http://www.mitpressjournals.org/doi/pdf/10.1162/pres.15.4.359,,,,,,YES,,
Presence Journal,"The independent and interactive effects of embodied-agent appearance and behavior on self-report, cognitive, and behavioral markers of copresence in immersive virtual environments",,,,,,,YES,,
Presence Journal,The Responses of People to Virtual Humans in an Immersive Virtual Environment,http://www.mitpressjournals.org/doi/pdf/10.1162/1054746053890242,,,,,,YES,,
Presence Journal,"“It Feels Right. Therefore, I Feel Present and Enjoy”: The Effects of Regulatory Fit and the Mediating Roles of Social Presence and Self-Presence in Avatar-Based 3D Virtual Environments",http://www.mitpressjournals.org/doi/pdf/10.1162/pres_a_00038,,,,,,YES,,
Cyberpsych and Behavior,"Virtual Social Interactions in Social Anxiety—The Impact of Sex, Gaze, and Interpersonal Distance",http://online.liebertpub.com/doi/pdf/10.1089/cyber.2009.0432,,,,,,,,
,,,,,,,,,,
IEEE VR,Immersiveness and Symmetry in Copresent Scenarios,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1492771,,,,,,YES,OK to use parts of papers because of history,
IEEE VR,Applying Mixed Reality to Simulate Vulnerable Populations for Practicing Clinical Communication Skills,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6479180,,,,,,NO,IV had nothing to do with avatar,
IEEE VR,Understanding How Adolescents with Autism Respond to Facial Expressions in Virtual Reality Environments,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6479212,,,,,,NO,,
IEEE VR,Reactive Virtual Human with Bottom-up and Top-down Visual Attention for Gaze Generation in Realtime Interactions,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4161025,,,,,,NO,,
IEEE VR,Can Immersive Virtual Humans Teach Social Conversational Protocols?,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4161026,,,,,,NO,Two conditions do not both include avatars,
IEEE VR,IPSViz: An After-Action Review Tool for Human-Virtual Human Experiences,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4480756,,,,,,YES,IV: skin tone of avatar,
IEEE VR,Virtual Human + Tangible Interface = Mixed Reality Human: An Initial Exploration with a Virtual Breast Exam Patient,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4480757,,,,,,YES,Both,
IEEE VR,An Evaluation of Immersive Displays for Virtual Human Experiences,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4480764,,,,,,YES,,
IEEE VR,Eye Tracking for Avatar Eye Gaze Control During Object-Focused Multiparty Interaction in Immersive Collaborative Virtual Environments,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4811003,,,,,,YES,,
IEEE VR,Virtual Experiences for Social Perspective-Taking,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4811005,,,,,,NO,,
IEEE VR,Exploring Co-Presence for Next Generationg Technical Support,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4811006,,,,,,NO,no data,
IEEE VR,"Communicating Eye-Gaze Across A Distance: Comparing an Eye-gaze enabled Immersive Collaboration Virtual Environment, Aligned Video Conferencing, and Being Together",http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4811013,,,,,,NO,Videoconferencing is one of conditions,
IEEE VR,Virtual Training for Fear of Public Speaking - Design of an Audience for Immersive Virtual Environments,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6180902,,,,,,NO,Did not test model,
IEEE VR,Effects of Virtual Human Animation on Emotion Contagion in Simulated Inter-Personal Experiences,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6777428,,,,,,YES,,
